index,Brand,Product,Price,Return/Exchange,Expected Delivery,Availability,URL
101, YAMAHA Store,Yamaha FX280 Natural Electro Acoustic Guitar,"10,570",7 days Replacement,,,https://www.amazon.in/Yamaha-FX280-acoustic-Dreadnought-Natural/dp/B09HR6BNFQ/ref=sr_1_77_mod_new?keywords=guitar&qid=1670921780&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-77
102, YAMAHA Store,"YAMAHA F310, 6-Strings Rose Wood Acoustic Guitar, Natural","9,299",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Yamaha-F310-6-Strings-Acoustic-Natural/dp/B000RVYW7E/ref=sr_1_78?keywords=guitar&qid=1670921780&sr=8-78
103, YAMAHA Store,Yamaha FSX80C Semi acoustic cutaway guitar (Black),"12,450",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_79_mod_primary_new?keywords=guitar&qid=1670921780&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-79
104, YAMAHA Store,Yamaha FSX80C Semi acoustic cutaway guitar (Black),"12,450",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_79_mod_new?keywords=guitar&qid=1670921780&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-79
105, YAMAHA Store,Yamaha FSX80C Semi acoustic cutaway guitar (Black),"12,450",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_79_mod_new?keywords=guitar&qid=1670921780&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-79
106, JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38C/RDS with Bag, Strings, Pick and Strap, Red Sunburst","2,482",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Acoustic-Cutaway-RDS-Strings-Sunburst/dp/B076QGY91P/ref=sr_1_80?keywords=guitar&qid=1670921780&sr=8-80
107, Stagg,"Stagg, Acoustic Electric Guitar, Auditorium Cutaway -Open Pore SA25 ACE MAHO, Mahogony","14,269",7 days Replacement,"Friday, 16 December",Only 1 left in stock.,https://www.amazon.in/Stagg-Auditorium-SA25-ACE-MAHO/dp/B09HQ2685T/ref=sr_1_81?keywords=guitar&qid=1670921780&sr=8-81
108, HOVNER,"Hovner Carlton Special Quality Rosewood Fretboard Blue Semi Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail (Blue)","4,750",7 days Replacement,"Monday, 19 December",In stock.,https://www.amazon.in/Carlton-Rosewood-Fretboard-Acoustic-K-Retail/dp/B07KK8P9VB/ref=sr_1_82?keywords=guitar&qid=1670921780&sr=8-82
109, Kadence Store,"Kadence Frontier Series Acoustic Guitar With Equalizer, Super Combo with Bag, 1 pack Strings, Strap, Picks, Capo, Tuner and Guitar Stand","6,699",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Strings/dp/B01HRIHH9E/ref=sr_1_83?keywords=guitar&qid=1670921780&sr=8-83
110, PRS Guitars Store,"PRS Guitars Electric Guitar, SE Custom 24, 2021 Series -Faded Blue Burst CU44DC","88,635",7 days Replacement,"Friday, 16 December",Only 1 left in stock.,https://www.amazon.in/PRS-Guitars-Electric-Guitar-Custom/dp/B08T7PYWDV/ref=sr_1_84?keywords=guitar&qid=1670921780&sr=8-84
