index,Brand,Product,Price,Return/Exchange,Expected Delivery,Availability,URL
149, VAULT Store,"Vault EA20 Guitar Kit with Learn to Play Ebook, Bag, Strings, Straps, Picks, String winder & Polishing Cloth - 40 inch Cutaway Acoustic Guitar","4,669",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Strings-Straps-String-winder-Polishing/dp/B07RV9FJ2Z/ref=sr_1_109?keywords=guitar&qid=1670921797&sr=8-109
150, Fender,Fender Squier CD 60 Dread V3 DS 6 String Acoustic Guitar Solid Top - Walnut Fretboard-Sunburst 0970110532 One of The Most reputed Guitar Brands in the World,"12,531",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM21D8X/ref=sr_1_110?keywords=guitar&qid=1670921797&sr=8-110
151, Epiphone,"Epiphone Les Paul Muse 6 String Right Handed Electric Guitar, Purple Passion Metallic","49,900",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Epiphone-String-Electric-Passion-Metallic/dp/B0892S4JVX/ref=sr_1_111?keywords=guitar&qid=1670921797&sr=8-111
152, JUAREZ Store,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap","3,317",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_112?keywords=guitar&qid=1670921797&sr=8-112
153, JUAREZ Store,"Juârez JRZ38C/ASH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Ash with Bag, Strings, Picks and Strap","3,119",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Juarez-JRZ38C-ASH-Strings-Acoustic/dp/B072JTPNZC/ref=sr_1_113?keywords=guitar&qid=1670921797&sr=8-113
154, Intern Store,"Intern INT-38C-SB-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","2,499",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_114?keywords=guitar&qid=1670921797&sr=8-114
155, blueberry Store,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Natural)","2,695",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Blueberry-38C-Acoustic-Strings-Natural/dp/B08KLNFL2Y/ref=sr_1_115?keywords=guitar&qid=1670921797&sr=8-115
156, Fender,Fender Squier SA-150 Dreadnought Acoustic Guitar 0961090021,"6,848",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Fender-SA-150-Acoustic-Guitar-Multicolor/dp/B0765G46BM/ref=sr_1_116?keywords=guitar&qid=1670921797&sr=8-116
157, GIVSON Store,"Givson Ketostics Venus Special VS-BLK, Acoustic Guitar Combo with Cover/Bag, String Set, Belt and Picks","4,299",7 days Replacement,"Sunday, 18 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfbXRmOjIwMDk5ODg4Mzk5NTk4OjowOjo&url=%2FGIVSON-KETOSTICS-VS-BLK-Strings-Acoustic%2Fdp%2FB07R9ZLSNL%2Fref%3Dsr_1_117_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
158, blueberry Store,"Blueberry B40L, 40"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Redburst)","4,295",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfbXRmOjIwMDc4MzM2ODg4MDk4OjowOjo&url=%2FBlueberry-Acoustic-Guitar-Inbuilt-Strings%2Fdp%2FB07XFNQYH5%2Fref%3Dsr_1_118_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
159, VAULT Store,Vault DA40 41 Inch Premium Solid Spruce-Top Dreadnought Acoustic Guitar With Allen Key,"6,930",7 days Returnable,"Thursday, 15 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfbXRmOjIwMDkyNjI0MDIxNDk4OjowOjo&url=%2FPremium-Spruce-Top-Dreadnought-Acoustic-Guitar%2Fdp%2FB0BJK1CWSN%2Fref%3Dsr_1_119_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-119-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
160, MUSTANG Store,Mustang 46 PCS Guitar Strings Changing Kit Guitar Tool Kit Including Guitar Strings Guitar Tuner Picks Capo Pins Guitar String Cutter and Winder for Beginner,895,7 days Replacement,"Sunday, 18 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfbXRmOjIwMDU3ODE3MzY4ODk4OjowOjo&url=%2FMustang-Strings-Changing-Including-Beginner%2Fdp%2FB07S19LGLR%2Fref%3Dsr_1_120_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-120-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
161, Kadence Store,"Kadence Frontier Series,Black Acoustic Guitar With Die Cast Keys Combo (Bag,strap,strings and 3 picks)","4,999",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01CJJG328/ref=sr_1_121?keywords=guitar&qid=1670921797&sr=8-121
162, Generic,Squier SA-150N Squier Beginner Nylon String Classical Acoustic Guitar - Natural,"9,899",7 days Replacement,"Thursday, 15 December",Only 2 left in stock.,https://www.amazon.in/Squier-SA-150N-Beginner-Classical-Acoustic/dp/B07MZZRTD9/ref=sr_1_122?keywords=guitar&qid=1670921797&sr=8-122
163, YAMAHA Store,"Yamaha F310-TBS Right Handed Acoustic Guitar with Cover (Tobacco Sunburst, 6-Strings)","9,995",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Yamaha-F310-TBS-Acoustic-Sunburst-6-Strings/dp/B01LXMFUSM/ref=sr_1_123?keywords=guitar&qid=1670921797&sr=8-123
164, YAMAHA Store,Yamaha FX280 Tobacco Brown Sunburst Electro Acoustic Guitar,"10,990",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/FX280-acoustic-Dreadnought-Tobacco-Sunburst/dp/B09HR7BXGW/ref=sr_1_124?keywords=guitar&qid=1670921797&sr=8-124
165, VAULT Store,"Vault Junior 30 Inch Acoustic Guitar for Kids with Truss Rod, Gig-Bag, Strings, Straps, Picks, String winder, Polishing Cloth & E-Book - Natural Gloss","3,999",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Junior-Acoustic-Guitar-Strings-Polishing/dp/B07RMJ88G2/ref=sr_1_125?keywords=guitar&qid=1670921797&sr=8-125
166, ORANGEWOOD GUITARS,"Orangewood 6 String Acoustic Guitar, Right, Mahogany (OW-DANA-M)","13,084",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Orangewood-String-Acoustic-Mahogany-OW-DANA-M/dp/B07MQ8PR5Q/ref=sr_1_126?keywords=guitar&qid=1670921797&sr=8-126
167, YAMAHA Store,"Yamaha F310 Acoustic Guitar with Cover (Natural, 6-Strings)","9,950",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Yamaha-F310Cover-Acoustic-Natural-6-Strings/dp/B01LXMGHL5/ref=sr_1_127?keywords=guitar&qid=1670921797&sr=8-127
168, Kadence Store,"Kadence Astro Man Electric Guitar, 24 FRETS, H- S - S PICK UPS Walnut Top with Alder wood Back and Sides (white) With Amplifier","9,899",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-Astro-Electric-Guitar-FRETS/dp/B09YHPH1MZ/ref=sr_1_128?keywords=guitar&qid=1670921797&sr=8-128
169, JUAREZ Store,"JUAREZ Arpeggio 39 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Red","3,224",Returns Policy,-,,https://www.amazon.in/JUAREZ-Arpeggio-Acoustic-Rosewood-Fretboard/dp/B08LBJ8PTM/ref=sr_1_129?keywords=guitar&qid=1670921797&sr=8-129
170, Kadence Store,"Kadence Guitar Frontier Series, Blue Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks, Guitar stand, Capo and Bag, Super Combo (Blue, Acoustic)","4,999",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Foldable-Strings/dp/B01CJJGEVS/ref=sr_1_130?keywords=guitar&qid=1670921797&sr=8-130
171, YAMAHA Store,"Yamaha F370 Acoustic Guitar, Natural","12,990",7 days Replacement,December 19 - 21,Only 1 left in stock.,https://www.amazon.in/Yamaha-F370-Acoustic-Guitar-Natural/dp/B000WITPJM/ref=sr_1_131_mod_primary_new?keywords=guitar&qid=1670921797&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-131
172, YAMAHA Store,"Yamaha F370 Acoustic Guitar, Natural","12,990",7 days Replacement,December 19 - 21,Only 1 left in stock.,https://www.amazon.in/Yamaha-F370-Acoustic-Guitar-Natural/dp/B000WITPJM/ref=sr_1_131_mod_new?keywords=guitar&qid=1670921797&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-131
173, YAMAHA Store,"Yamaha F370 Acoustic Guitar, Natural","12,990",7 days Replacement,December 19 - 21,Only 1 left in stock.,https://www.amazon.in/Yamaha-F370-Acoustic-Guitar-Natural/dp/B000WITPJM/ref=sr_1_131_mod_new?keywords=guitar&qid=1670921797&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-131
174, YAMAHA Store,"Yamaha C40M Classical Guitar, Sprucewood (Brown)","8,990",7 days Replacement,December 15 - 17,Only 2 left in stock.,https://www.amazon.in/Yamaha-C40MII-Acoustic-Concert-Guitar/dp/B005LG2JRK/ref=sr_1_132?keywords=guitar&qid=1670921797&sr=8-132
175, Pluto,Pluto HW41C-201 41-inch Cutaway Acoustic Guitar (Natural),"7,001",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Pluto-HW41C201-HW41C-201-Acoustic-Guitar/dp/B014R94H1W/ref=sr_1_133?keywords=guitar&qid=1670921797&sr=8-133
176, HOVNER,"Hovner 215 Crown Orange Sunburst F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,480",7 days Replacement,"Monday, 19 December",In stock.,https://www.amazon.in/Rosewood-Fretboard-Sunburst-Electro-Acoustic/dp/B07L4P3XT8/ref=sr_1_134?keywords=guitar&qid=1670921797&sr=8-134
177, Squier by Fender,"Squier by Fender Bulletstrathssawt Linden Electric Guitar, White","14,999",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Fender-Squier-Bulletstrathssawt-Stratocaster-Electric/dp/B0171NPNYQ/ref=sr_1_135?keywords=guitar&qid=1670921797&sr=8-135
178, Fender,Fender Classic Design Dreadnought Acoustic Guitar Solid Top CD-60S Right-Hand (Black) One of The Most reputed Guitar Brands in the World,"13,340",7 days Replacement,-,-,https://www.amazon.in/Fender-Classic-Design-Dreadnought-Acoustic/dp/B07HYS18LJ/ref=sr_1_136?keywords=guitar&qid=1670921797&sr=8-136
179, JUAREZ Store,"JUAREZ Arpeggio Guitar JRA41SP-RD-K, red","6,738",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/JUAREZ-Arpeggio-Guitar-JRA41SP-RD-K-red/dp/B08MW8CWG8/ref=sr_1_137?keywords=guitar&qid=1670921797&sr=8-137
180, B For Best,B For Best 4 String Acoustic Décor Guitar Children's Educational Musical Instrument Child Learning Random Brown Best Gift Boys & Girls 24 Inch Kids Keep Tone Picks Strap Ability Beginner Sound,899,10 days Returnable,"Friday, 16 December",In stock.,https://www.amazon.in/Best-Acoustic-Childrens-Educational-Instrument/dp/B0BMYJ3PXY/ref=sr_1_138?keywords=guitar&qid=1670921797&sr=8-138
181, JUAREZ Store,"JUAREZ Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit, Thin Line Body, Spruce Top, with 4 Band EQ, Natural","6,658",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Natural/dp/B08KHFJKZK/ref=sr_1_139?keywords=guitar&qid=1670921797&sr=8-139
182, PRS Guitars Store,"PRS Guitars Acoustic Electric Guitar, AX20E Special India Model w/Fishman Pickup -Natural AXM20EGB,AXM20EGB NA","41,832",7 days Replacement,"Monday, 19 December",Only 2 left in stock.,https://www.amazon.in/PRS-Guitars-Acoustic-AXM20EGB-NA/dp/B09K5NMD7V/ref=sr_1_140?keywords=guitar&qid=1670921797&sr=8-140
183, Cort,"Cort SFX-MEM Electro Acoustic Guitar - Open Pore, Mahogany, SFXMEMOP (SFXMEMOP)","14,299",7 days Replacement,"Thursday, 15 December",Only 1 left in stock.,https://www.amazon.in/Cort-SFX-MEM-Electro-Acoustic-Guitar/dp/B0915ZCZWK/ref=sr_1_141?keywords=guitar&qid=1670921797&sr=8-141
184, YAMAHA Store,Yamaha F Series FSX315C Concert Cutaway Acoustic-Electric Guitar - Natural,"18,990",7 days Replacement,December 15 - 17,Only 1 left in stock.,https://www.amazon.in/Yamaha-FSX315C-Concert-Cutaway-Acoustic-Electric/dp/B00H576YCO/ref=sr_1_142?keywords=guitar&qid=1670921797&sr=8-142
185, YAMAHA Store,Yamaha FSX80C Semi acoustic cutaway guitar (natural),"11,030",7 days Replacement,,,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Natural/dp/B09HL3GFZF/ref=sr_1_143_mod_primary_new?keywords=guitar&qid=1670921797&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-143
186, YAMAHA Store,Yamaha FSX80C Semi acoustic cutaway guitar (natural),"11,030",7 days Replacement,,,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Natural/dp/B09HL3GFZF/ref=sr_1_143_mod_new?keywords=guitar&qid=1670921797&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-143
187, YAMAHA Store,Yamaha FSX80C Semi acoustic cutaway guitar (natural),"11,030",7 days Replacement,,,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Natural/dp/B09HL3GFZF/ref=sr_1_143_mod_new?keywords=guitar&qid=1670921797&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-143
188, Cort,"Cort CR200 GT, 6 Strings Electric Guitar, Right-Handed, Gold Top, without case","28,780",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Cort-Strings-Electric-Right-Handed-without/dp/B00LCRUAKU/ref=sr_1_144?keywords=guitar&qid=1670921797&sr=8-144
189, FESTRA Store,"Festra 38C, 38 Inch Acoustic Guitar Kit with Bag, Strap, One Pack Strings And 2 Picks (Acoustic 38C (38 Inch) Guitar Kit, Sunburst)","2,695",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Festra-38C-Acoustic-Strings-Sunburst/dp/B09JT67MS5/ref=sr_1_145?keywords=guitar&qid=1670921797&sr=8-145
190, Fender,"Fender FA-235E 25.5 Inches Sprucewood Concert Bodied Acoustic Guitar (Moonlight Burst, Multicolour)","27,985",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Fender-FA-235E-Concert-Bodied-Acoustic/dp/B07BCQ7P7Z/ref=sr_1_146?keywords=guitar&qid=1670921797&sr=8-146
191, YAMAHA Store,Yamaha F-600 6-Strings Acoustic Guitar (Natural),"14,490",7 days Replacement,"Friday, 16 December",Only 1 left in stock.,https://www.amazon.in/Yamaha-6-Strings-Acoustic-Guitar-Natural/dp/B006N4MPEQ/ref=sr_1_147?keywords=guitar&qid=1670921797&sr=8-147
192, Kadence Store,"Kadence acoustica 40"" Semi Acoustic Guitar With Equalizer AG01M Spruce Top with Mahogany back and Sides with bag","8,999",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-acoustica-Acoustic-Equalizer-Mahogany/dp/B07NP3WH83/ref=sr_1_148?keywords=guitar&qid=1670921797&sr=8-148
193, Belear,Belear I-280 38 Inch Blue Spruce Cutaway Acoustic Guitar with Dual Action Truss Rod,"2,699",7 days Returnable,"Saturday, 17 December",In stock.,https://www.amazon.in/Belear-I-280-Blue-Cutaway-Acoustic/dp/B0BC9DG4Q3/ref=sr_1_149?keywords=guitar&qid=1670921797&sr=8-149
194, Cort,"Cort AD810-OP Acoustic Guitar, Brown With Padded Bag, Belt, Plectrums & Guitar Tuner Complete Pack","10,582",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Cort-CAP810-OP-Acoustic-Plectrums-Complete/dp/B08D7SWGG5/ref=sr_1_150?keywords=guitar&qid=1670921797&sr=8-150
195, Martin Smith,Martin Smith W-101-N-PK Acoustic Guitar Super Kit with Stand (Natural),"6,189",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Martin-Smith-W-101-N-PK-Acoustic-Natural/dp/B00UOUK4IE/ref=sr_1_151?keywords=guitar&qid=1670921797&sr=8-151
196, CHANGER,CHANGER rosewood 21 fret acoustic guitar black & white guitar,"3,690",7 days Returnable,"Monday, 19 December",In stock.,https://www.amazon.in/CHANGER-rosewood-acoustic-guitar-black/dp/B0BJDN87H3/ref=sr_1_152?keywords=guitar&qid=1670921797&sr=8-152
197, blueberry Store,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Sunburst)","2,395",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYnRmOjIwMDc4MzM2ODg4NDk4OjowOjo&url=%2FBlueberry-38C-Acoustic-Strings-Sunburst%2Fdp%2FB08KLMQN88%2Fref%3Dsr_1_153_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-153-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
198, Right Search,Right Search ® Mini Musical Guitar Toy _g1,299,7 days Replacement,"Sunday, 18 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYnRmOjIwMDc3ODY4NTg2Mjk4OjowOjo&url=%2FRight-Search-Mini-Musical-Guitar%2Fdp%2FB0B6FJNP9S%2Fref%3Dsr_1_154_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-154-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
199, blueberry Store,Blueberry D38 38 Inches Trussrod Lindenwood Acoustic Guitar Kit (Blue),"2,895",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYnRmOjIwMDc4MzM2ODg3ODk4OjowOjo&url=%2FBlueberry-Acoustic-Guitar-inbuilt-Truss-rod%2Fdp%2FB08T8HW3K7%2Fref%3Dsr_1_155_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-155-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
200, blueberry Store,"Blueberry B-40, 40"" Acoustic Guitar Kit with Bag,Belt, One Pack Strings & Picks (Black)","4,990",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYnRmOjIwMDc4MzM2ODg5MDk4OjowOjo&url=%2FBlueberry-Acoustic-Guitar-Strings-Picks%2Fdp%2FB08L7NQB57%2Fref%3Dsr_1_156_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-156-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
